Root	Category	Name	TunerType	DiseqC	LNB-Selection	LNB	Frequency	Polarity	Symbolrate	FEC	APID	VPID	PMTPID	PCRPID	AC3	TelePID	SID	StreamID	Encrypted	NetworkID	SatModulation	SatModulationSystem	Group	Language	AudioChannel	EPGFlag	Volume	OrbitalPos	DiSEqCValue
Astra 19.2°E	ARD/ZDF HD	Das Erste HD (deu)	1	3	0	9750	11494	h	22000	1	5102	5101	5100	5101	16	5104	10301	1019	24	1	134	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	Das Erste HD (mis)	1	3	0	9750	11494	h	22000	1	5103	5101	5100	5101	16	5104	10301	1019	152	1	134	0	0	mis	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	Das Erste HD (AC3,deu)	1	3	0	9750	11494	h	22000	1	5106	5101	5100	5101	17	5104	10301	1019	152	1	134	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	ZDF HD (deu)	1	3	0	9750	11362	h	22000	1	6120	6110	6100	6110	16	6130	11110	1011	24	1	134	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	ZDF HD (mis)	1	3	0	9750	11362	h	22000	1	6121	6110	6100	6110	16	6130	11110	1011	152	1	134	0	0	mis	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	ZDF HD (mul)	1	3	0	9750	11362	h	22000	1	6123	6110	6100	6110	16	6130	11110	1011	152	1	134	0	0	mul	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	ZDF HD (AC3,ger)	1	3	0	9750	11362	h	22000	1	6122	6110	6100	6110	17	6130	11110	1011	152	1	134	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	3sat HD (deu)	1	3	0	9750	11348	v	22000	1	6520	6510	6500	6510	16	6530	11150	1010	24	1	134	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	3sat HD (mis)	1	3	0	9750	11348	v	22000	1	6521	6510	6500	6510	16	6530	11150	1010	152	1	134	0	0	mis	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	3sat HD (mul)	1	3	0	9750	11348	v	22000	1	6523	6510	6500	6510	16	6530	11150	1010	152	1	134	0	0	mul	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	3sat HD (AC3,ger)	1	3	0	9750	11348	v	22000	1	6522	6510	6500	6510	17	6530	11150	1010	152	1	134	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	arte HD (deu)	1	3	0	9750	11494	h	22000	1	5112	5111	5110	5111	16	5114	10302	1019	24	1	134	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	arte HD (fra)	1	3	0	9750	11494	h	22000	1	5113	5111	5110	5111	16	5114	10302	1019	152	1	134	0	0	fra	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	arte HD (deu) (AC3,deu)	1	3	0	9750	11494	h	22000	1	5116	5111	5110	5111	17	5114	10302	1019	152	1	134	0	0	mul	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	KiKA HD (deu)	1	3	0	9750	11348	v	22000	1	6620	6610	6600	6610	16	6630	11160	1010	24	1	134	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF HD	KiKA HD (AC3,ger)	1	3	0	9750	11348	v	22000	1	6622	6610	6600	6610	17	6630	11160	1010	152	1	134	0	0	deu	0	0	0	192	0
