Root	Category	Name	TunerType	DiseqC	LNB-Selection	LNB	Frequency	Polarity	Symbolrate	FEC	APID	VPID	PMTPID	PCRPID	AC3	TelePID	SID	StreamID	Encrypted	NetworkID	SatModulation	SatModulationSystem	Group	Language	AudioChannel	EPGFlag	Volume	OrbitalPos	DiSEqCValue
Astra 19.2°E	ARD/ZDF	Das Erste	1	3	1	10600	11837	h	27500	2	102	101	100	101	0	104	28106	1101	24	1	1	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF	Das Erste (AC3,deu)	1	3	1	10600	11837	h	27500	2	106	101	100	101	1	104	28106	1101	152	1	1	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF	Das Erste (mis)	1	3	1	10600	11837	h	27500	2	103	101	100	101	0	104	28106	1101	152	1	1	0	0	mis	0	0	0	192	0
Astra 19.2°E	ARD/ZDF	ZDF	1	3	1	10600	11954	h	27500	2	120	110	100	110	0	130	28006	1079	24	1	1	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF	ZDF (AC3,deu)	1	3	1	10600	11954	h	27500	2	125	110	100	110	1	130	28006	1079	152	1	1	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF	ZDF (mul)	1	3	1	10600	11954	h	27500	2	122	110	100	110	0	130	28006	1079	152	1	1	0	0	mul	0	0	0	192	0
Astra 19.2°E	ARD/ZDF	ZDF (mis)	1	3	1	10600	11954	h	27500	2	121	110	100	110	0	130	28006	1079	152	1	1	0	0	mis	0	0	0	192	0
Astra 19.2°E	ARD/ZDF	3sat	1	3	1	10600	11954	h	27500	2	220	210	200	210	0	230	28007	1079	24	1	1	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF	3sat (AC3,deu)	1	3	1	10600	11954	h	27500	2	225	210	200	210	1	230	28007	1079	152	1	1	0	0	deu	0	0	0	192	0
Astra 19.2°E	ARD/ZDF	3sat (mis)	1	3	1	10600	11954	h	27500	2	221	210	200	210	0	230	28007	1079	152	1	1	0	0	mis	0	0	0	192	0
